Test_Case,Init_Time,InitParallel_Time,Compute_Time,ComputeParallel_Time
TestDestroyWeakSynapseOnActiveReinforce,19.8047,19.1092,50.3826,45.4452
TestDestroySegmentsWithTooFewSynapsesToBeMatching,0.1458,0.1405,0.591,0.4913
TestNoneActiveColumns,0.1071,0.1023,1.0708,1.0394
TestReinforcedSelectedMatchingSegmentInBurstingColumn1,0.1837,0.1765,0.677,0.5713
TestMatchingSegmentAddSynapsesToSubsetOfWinnerCells,0.1048,0.1018,0.4773,0.4227
TestCreateSynapseInDistalSegment,38.2302,36.7044,39.6348,39.0883
TestNewSegmentAddSynapsesToAllWinnerCells,0.1158,0.1204,0.293,1.5531
TestSegmentCreationIfNotEnoughWinnerCells2,0.1572,0.1298,0.6115,0.4828
TestBurstUnpredictedColumnsforFiveCells2,0.228,0.214,0.9408,0.8575
TestPunishMatchingSegmentsInInactiveColumns,0.1776,0.1702,1.1341,0.9354
TestPredictedActiveCellsAreCorrect,0.2508,0.239,0.7367,0.6951
TestHighSparsitySequenceLearningAndRecallParallel,0.1619,0.1543,1.0521,0.8723
TestIncreasePermanenceOfActiveSynapses,0.1024,0.0985,0.7988,0.6774
TestRecycleLeastRecentlyActiveSegmentToMakeRoomForNewSegment,0.2923,0.2836,1.2669,1.1432
TestNewSegmentGrowthWhenNoMatchingSegmentFound,28.2185,27.0449,28.7291,28.6573
TestDestroyWeakSynapseOnWrongPrediction,0.2205,0.2143,1.7092,1.5996
TestAddSegmentToCellWithFewestSegments,0.0513,0.0576,0.1577,0.6667
TestActivateCorrectlyPredictiveCells,0.2551,0.2477,4.7915,0.9971
TestArrayNotContainingCells,0.3042,0.3004,1.0746,1.0115
TestNewSegmentGrowthWhenMultipleMatchingSegmentsFound,10.0823,9.0735,32.2867,32.1467
TestSynapsePermanenceUpdateWhenMatchingSegmentsFound,0.0821,0.0787,0.6839,0.6305
TestNoNewSegmentIfNotEnoughWinnerCells3,0.2903,0.2833,1.081,1.0252
TestActiveSegmentGrowSynapsesAccordingToPotentialOverlap,0.2761,0.2374,0.8943,0.7838
TestNoNewSegmentIfNotEnoughWinnerCells1,0.3956,0.3907,1.1757,1.1077
TestBurstUnpredictedColumnsforFiveCells1,0.0933,0.0855,0.5101,0.4707
TestNewSegmentAddSynapsesToSubsetOfWinnerCells1,0.3498,0.3463,1.0215,0.9908
TestLowSparsitySequenceLearningAndRecall,0.2449,0.2346,1.2785,1.0828
TestWhichCellsBecomeActive,20.3629,18.0593,21.4418,21.1797
TestNewSegmentAddSynapsesToSubsetOfWinnerCells2,0.0922,0.0885,0.3703,0.3351
TestDestroyWeakSynapseOnActiveReinforce1,0.0564,0.0533,0.1885,0.1616
TestActivateCorrectlyPredictiveCells1,0.1466,0.1411,1.0194,0.9019
TestNewSegmentAddSynapsesToAllWinnerCells1,0.2337,0.2272,0.9285,0.7574
TestWithTwoActiveColumns,0.3049,0.3011,1.2252,1.1114
TestActiveCellPrediction,0.3395,0.3356,1.2613,1.1924
TestBurstNotpredictedColumns,0.234,0.2297,1.138,1.0727
TestNoChangeToNoTSelectedMatchingSegmentsInBurstingColumn,0.3164,0.3121,0.9939,0.9566
TestBurstUnpredictedColumnsforSixCells,0.2826,0.2784,0.7304,0.701
