Test_Case,Init_Time,InitParallel_Time,Compute_Time,ComputeParallel_Time
TestNewSegmentAddSynapsesToAllWinnerCells,4.6473,5.675,15.4052,32.6189
TestDestroyWeakSynapseOnWrongPrediction,2.1452,2.1396,2.712,2.6582
TestWithTwoActiveColumns,0.2992,0.2792,1.3443,1.2408
TestHighSparsitySequenceLearningAndRecall,0.2315,0.2236,1.6074,1.2081
TestDestroyWeakSynapseOnActiveReinforce,0.1879,0.1822,2.2308,1.1527
TestIncreasePermanenceOfActiveSynapses,0.1975,0.1916,1.1981,1.0679
TestDestroySegmentsWithTooFewSynapsesToBeMatching,0.1799,0.1759,0.3919,0.3551
TestNewSegmentAddSynapsesToSubsetOfWinnerCells1,16.0527,16.0458,16.8529,16.7904
TestNewSegmentAddSynapsesToAllWinnerCells1,0.1842,0.1766,0.5904,0.5393
TestMatchingSegmentAddSynapsesToSubsetOfWinnerCells,0.1724,0.1661,0.4355,0.3895
TestActivateCorrectlyPredictiveCells,0.1649,0.1604,0.7619,0.7145
TestSynapsePermanenceUpdateWhenMatchingSegmentsFound,0.2334,0.2236,0.6244,0.5888
TestLowSparsitySequenceLearningAndRecall,0.1702,0.1652,0.8024,0.6435
TestBurstUnpredictedColumnsforSixCells,0.1567,0.1526,0.8063,0.7162
TestHighSparsitySequenceLearningAndRecallParallel,0.2847,0.2692,0.9398,0.7191
TestSegmentCreationIfNotEnoughWinnerCells2,0.1226,0.1178,0.6669,0.5174
TestReinforcedSelectedMatchingSegmentInBurstingColumn1,0.4092,0.4041,0.8078,0.7657
TestActiveCellPrediction,0.3131,0.3059,0.996,0.8637
TestNoneActiveColumns,0.282,0.2678,1.1539,1.0982
TestDestroyWeakSynapseOnActiveReinforce1,0.1153,0.1106,0.6,0.53
TestAddSegmentToCellWithFewestSegments,0.0334,0.0368,0.1243,0.7086
TestNoChangeToNoTSelectedMatchingSegmentsInBurstingColumn,0.1151,0.1114,0.4928,0.4241
TestActivateCorrectlyPredictiveCells1,0.4461,0.4338,0.8646,0.8111
TestNewSegmentGrowthWhenMultipleMatchingSegmentsFound,56.7172,55.223,57.3985,57.3197
TestBurstUnpredictedColumnsforFiveCells1,0.326,0.3168,0.7372,0.6874
TestPunishMatchingSegmentsInInactiveColumns,0.1776,0.171,0.6613,0.5743
TestRecycleLeastRecentlyActiveSegmentToMakeRoomForNewSegment,0.3606,0.3513,0.9736,0.9065
TestBurstNotpredictedColumns,0.2672,0.2558,1.3414,1.2529
TestNoNewSegmentIfNotEnoughWinnerCells,0.3103,0.3017,0.8132,0.7631
TestNewSegmentAddSynapsesToSubsetOfWinnerCells2,0.0701,0.0658,0.1569,0.1385
TestBurstUnpredictedColumnsforFiveCells2,0.1683,0.1612,0.295,0.2692
TestCreateSynapseInDistalSegment,31.5709,29.2075,32.9335,32.6743
TestArrayNotContainingCells,0.1545,0.1489,0.6635,0.5807
TestNoNewSegmentIfNotEnoughWinnerCells3,0.0977,0.0927,0.3544,0.3263
TestNoNewSegmentIfNotEnoughWinnerCells1,0.3207,0.3133,15.663,15.6091
TestPredictedActiveCellsAreCorrect,0.2233,0.2159,0.9195,0.8782
TestNewSegmentGrowthWhenNoMatchingSegmentFound,25.1246,24.0131,25.6586,25.6046
TestActiveSegmentGrowSynapsesAccordingToPotentialOverlap,0.2373,0.2335,0.5319,0.4988
TestWhichCellsBecomeActive,30.4965,28.7385,31.2582,31.163
