Test_Case,Init_Time,InitParallel_Time,Compute_Time,ComputeParallel_Time
TestActivateCorrectlyPredictiveCells,19.674,19.0855,53.868,46.4393
TestCreateSynapseInDistalSegment,32.9039,31.1635,37.8505,35.9895
TestActivateCorrectlyPredictiveCells1,0.1609,0.1524,0.5297,0.4463
TestWithTwoActiveColumns,0.1157,0.1096,0.3276,0.2721
TestNoNewSegmentIfNotEnoughWinnerCells1,0.0835,0.0765,0.2719,0.2326
TestReinforcedSelectedMatchingSegmentInBurstingColumn,0.1081,0.1021,0.3011,0.2609
TestMatchingSegmentAddSynapsesToSubsetOfWinnerCells,0.1384,0.1318,0.3755,0.3334
TestDestroyWeakSynapseOnActiveReinforce,0.1657,0.1512,1.3552,0.62
TestNewSegmentAddSynapsesToSubsetOfWinnerCells2,0.13,0.1226,0.4984,0.4502
TestAddSegmentToCellWithFewestSegments,0.1168,0.1241,0.3046,0.6953
TestDestroyWeakSynapseOnWrongPrediction,0.1069,0.0995,0.292,0.2598
TestNewSegmentAddSynapsesToAllWinnerCells,0.053,0.0578,0.1188,0.3159
TestBurstUnpredictedColumnsforFiveCells1,0.1422,0.134,0.3814,0.3365
TestReinforcedSelectedMatchingSegmentInBurstingColumn1,0.1122,0.1037,0.3408,0.2765
TestBurstUnpredictedColumnsforSixCells,0.1563,0.1495,0.3546,0.3116
TestNewSegmentGrowthWhenNoMatchingSegmentFound,29.7076,28.1256,30.1032,30.0242
TestHighSparsitySequenceLearningAndRecallParallel,0.294,0.2757,0.9422,0.6719
TestDestroySegmentsWithTooFewSynapsesToBeMatching,0.1054,0.1007,0.4351,0.3803
TestIncreasePermanenceOfActiveSynapses,0.0839,0.0788,0.2828,0.2196
TestNoChangeToNoTSelectedMatchingSegmentsInBurstingColumn,0.1077,0.1028,0.2726,0.2406
TestPredictedActiveCellsAreCorrect,0.086,0.0769,0.2033,0.1784
TestLowSparsitySequenceLearningAndRecall,0.1346,0.1265,0.4656,0.3363
TestActiveSegmentGrowSynapsesAccordingToPotentialOverlap,0.0775,0.0735,0.1997,0.1773
TestNewSegmentAddSynapsesToAllWinnerCells1,0.1024,0.0966,0.2737,0.2403
TestNoNewSegmentIfNotEnoughWinnerCells3,0.1147,0.1064,0.2982,0.2611
TestPunishMatchingSegmentsInInactiveColumns,0.1323,0.1262,0.4027,0.3264
TestSynapsePermanenceUpdateWhenMatchingSegmentsFound,0.0724,0.0672,0.1816,0.1569
TestDestroyWeakSynapseOnActiveReinforce1,0.1287,0.1227,0.5183,0.3504
TestNewSegmentAddSynapsesToSubsetOfWinnerCells1,0.1147,0.11,0.2383,0.2182
TestActiveCellPrediction,0.4534,0.4385,0.6741,0.6145
TestBurstNotpredictedColumns,0.118,0.1109,0.3526,0.3004
TestNewSegmentGrowthWhenMultipleMatchingSegmentsFound,47.1718,45.7906,47.4891,47.4174
TestRecycleLeastRecentlyActiveSegmentToMakeRoomForNewSegment,0.078,0.0739,0.373,0.3187
TestSegmentCreationIfNotEnoughWinnerCells2,0.064,0.0596,0.2417,0.1992
TestNoneActiveColumns,0.0732,0.0685,0.2317,0.2191
TestBurstUnpredictedColumnsforFiveCells2,0.1324,0.1278,0.4046,0.3575
TestArrayNotContainingCells,0.0591,0.0539,0.1837,0.1506
TestWhichCellsBecomeActive,20.3324,18.6755,20.5938,20.53
