Test_Case,Init_Time,InitParallel_Time,Compute_Time,ComputeParallel_Time
TestSynapsePermanenceUpdateWhenMatchingSegmentsFound,8.741,8.4796,26.4995,23.9829
TestWhichCellsBecomeActive,13.7323,12.549,14.8324,14.7589
TestLowSparsitySequenceLearningAndRecall,0.1152,0.1089,0.6646,0.3443
TestMatchingSegmentAddSynapsesToSubsetOfWinnerCells,0.0535,0.0506,0.1857,0.1269
TestHighSparsitySequenceLearningAndRecall,0.134,0.1242,0.5605,0.3998
TestDestroyWeakSynapseOnActiveReinforce1,0.0943,0.0906,0.2298,0.2051
TestDestroyWeakSynapseOnWrongPrediction,0.1062,0.1016,0.292,0.2506
TestDestroySegmentsWithTooFewSynapsesToBeMatching,0.087,0.0829,0.2372,0.2134
TestSegmentCreationIfNotEnoughWinnerCells2,0.1072,0.1006,0.3451,0.2801
TestBurstUnpredictedColumnsforFiveCells2,0.0683,0.0627,0.1798,0.1507
TestAddSegmentToCellWithFewestSegments,0.0432,0.0489,0.1279,0.395
TestPunishMatchingSegmentsInInactiveColumns,0.0702,0.0633,0.3502,0.2654
TestNewSegmentAddSynapsesToAllWinnerCells,0.0487,0.0558,0.4284,0.6582
TestReinforcedSelectedMatchingSegmentInBurstingColumn,0.1179,0.1044,0.3326,0.2926
TestNewSegmentAddSynapsesToAllWinnerCells1,0.1245,0.1171,0.3435,0.307
TestNewSegmentAddSynapsesToSubsetOfWinnerCells1,0.1084,0.1026,0.3781,0.3277
TestReinforcedSelectedMatchingSegmentInBurstingColumn1,0.107,0.1006,0.294,0.262
TestPredictedActiveCellsAreCorrect,0.0977,0.0915,0.2481,0.2243
TestActiveCellPrediction,0.0837,0.0779,0.2814,0.2325
TestIncreasePermanenceOfActiveSynapses,0.0818,0.0734,0.2378,0.1927
TestCreateSynapseInDistalSegment,22.7375,21.3082,23.3132,23.104
TestArrayNotContainingCells,0.0945,0.089,0.3415,0.2929
TestNewSegmentAddSynapsesToSubsetOfWinnerCells2,0.0928,0.0874,0.1847,0.1672
TestNoneActiveColumns,0.077,0.0708,0.3516,0.3307
TestNoNewSegmentIfNotEnoughWinnerCells,0.0934,0.085,0.2707,0.2396
TestActiveSegmentGrowSynapsesAccordingToPotentialOverlap,0.0846,0.0802,0.3356,0.2945
TestBurstUnpredictedColumnsforFiveCells1,0.0787,0.074,0.2365,0.2096
TestBurstUnpredictedColumnsforSixCells,0.0598,0.0552,0.1603,0.1373
TestNewSegmentGrowthWhenNoMatchingSegmentFound,33.2491,31.7584,33.5467,33.506
TestBurstNotpredictedColumns,0.0661,0.0603,0.1856,0.1538
TestWithTwoActiveColumns,0.0768,0.0724,0.2922,0.249
TestActivateCorrectlyPredictiveCells,0.0554,0.0504,2.5342,0.1538
TestRecycleLeastRecentlyActiveSegmentToMakeRoomForNewSegment,0.0916,0.0866,0.3148,0.2747
TestHighSparsitySequenceLearningAndRecallParallel,0.1658,0.1448,0.4984,0.3654
TestNewSegmentGrowthWhenMultipleMatchingSegmentsFound,29.1131,25.659,29.4545,29.3969
TestActivateCorrectlyPredictiveCells1,0.0937,0.0892,0.3302,0.2783
TestNoNewSegmentIfNotEnoughWinnerCells3,0.0854,0.0804,0.3403,0.2887
TestNoNewSegmentIfNotEnoughWinnerCells1,0.2691,0.263,0.4289,0.4029
TestNoChangeToNoTSelectedMatchingSegmentsInBurstingColumn,0.0656,0.0601,0.1992,0.1588
