Test_Case,Init_Time,InitParallel_Time,Compute_Time,ComputeParallel_Time
TestSynapsePermanenceUpdateWhenMatchingSegmentsFound,12.8061,12.4971,37.1623,34.5672
TestWhichCellsBecomeActive,21.6284,20.2904,23.9056,23.7524
TestLowSparsitySequenceLearningAndRecall,0.1138,0.1059,0.9822,0.4434
TestMatchingSegmentAddSynapsesToSubsetOfWinnerCells,0.0575,0.0543,0.2202,0.1543
TestHighSparsitySequenceLearningAndRecall,0.1667,0.1555,0.6539,0.4699
TestDestroyWeakSynapseOnActiveReinforce1,0.0943,0.0905,0.3412,0.2261
TestDestroyWeakSynapseOnWrongPrediction,0.0928,0.0884,0.2874,0.2559
TestDestroySegmentsWithTooFewSynapsesToBeMatching,0.1039,0.0999,0.2547,0.2303
TestSegmentCreationIfNotEnoughWinnerCells2,0.0991,0.0944,0.3165,0.2499
TestBurstUnpredictedColumnsforFiveCells2,0.0792,0.0749,0.1803,0.148
TestAddSegmentToCellWithFewestSegments,0.0404,0.0444,0.1217,0.3073
TestPunishMatchingSegmentsInInactiveColumns,0.0636,0.0595,0.3321,0.2485
TestNewSegmentAddSynapsesToAllWinnerCells,0.0408,0.0449,0.1569,0.3215
TestReinforcedSelectedMatchingSegmentInBurstingColumn,0.0754,0.0692,0.2868,0.2411
TestNewSegmentAddSynapsesToAllWinnerCells1,0.097,0.0909,0.3028,0.2503
TestNewSegmentAddSynapsesToSubsetOfWinnerCells1,0.0913,0.0868,0.2869,0.2629
TestReinforcedSelectedMatchingSegmentInBurstingColumn1,0.1085,0.1032,0.2946,0.2585
TestPredictedActiveCellsAreCorrect,0.0878,0.0827,0.5124,0.3673
TestActiveCellPrediction,0.1075,0.1017,0.3117,0.2503
TestIncreasePermanenceOfActiveSynapses,0.0954,0.0851,0.2824,0.2249
TestCreateSynapseInDistalSegment,34.6557,33.0256,35.1875,34.9876
TestArrayNotContainingCells,0.1008,0.0965,0.7848,0.7074
TestNewSegmentAddSynapsesToSubsetOfWinnerCells2,0.0949,0.0913,0.2071,0.1876
TestNoneActiveColumns,0.0669,0.0621,0.4408,0.3717
TestNoNewSegmentIfNotEnoughWinnerCells,0.1248,0.1165,0.354,0.3027
TestActiveSegmentGrowSynapsesAccordingToPotentialOverlap,0.1152,0.1108,0.3048,0.2665
TestBurstUnpredictedColumnsforFiveCells1,0.0788,0.0741,0.2618,0.2275
TestBurstUnpredictedColumnsforSixCells,0.0558,0.0524,0.1462,0.124
TestNewSegmentGrowthWhenNoMatchingSegmentFound,35.5948,34.2696,35.8594,35.8159
TestBurstNotpredictedColumns,0.0619,0.0583,0.1692,0.1385
TestWithTwoActiveColumns,0.1115,0.1061,0.3625,0.3108
TestActivateCorrectlyPredictiveCells,0.0969,0.0933,3.3848,0.216
TestRecycleLeastRecentlyActiveSegmentToMakeRoomForNewSegment,0.0899,0.0866,0.2292,0.2011
TestHighSparsitySequenceLearningAndRecallParallel,0.1063,0.0977,0.4547,0.318
TestNewSegmentGrowthWhenMultipleMatchingSegmentsFound,38.7889,37.4351,39.1382,39.0741
TestActivateCorrectlyPredictiveCells1,0.1016,0.0927,0.2788,0.2517
TestNoNewSegmentIfNotEnoughWinnerCells3,0.0823,0.0784,0.2443,0.207
TestNoNewSegmentIfNotEnoughWinnerCells1,0.0893,0.0856,0.2683,0.2386
TestNoChangeToNoTSelectedMatchingSegmentsInBurstingColumn,0.0588,0.0545,0.1456,0.1245
