Test_Case,Init_Time,InitParallel_Time,Compute_Time,ComputeParallel_Time
TestActivateCorrectlyPredictiveCells,22.7766,22.2763,54.4747,47.3236
TestCreateSynapseInDistalSegment,33.2925,31.5228,39.2633,37.1031
TestActivateCorrectlyPredictiveCells1,0.139,0.1303,0.4159,0.3618
TestWithTwoActiveColumns,0.1256,0.1184,0.3667,0.3033
TestNoNewSegmentIfNotEnoughWinnerCells1,0.2014,0.1898,0.4437,0.3928
TestReinforcedSelectedMatchingSegmentInBurstingColumn,0.1304,0.1217,0.3359,0.2909
TestMatchingSegmentAddSynapsesToSubsetOfWinnerCells,0.1716,0.1642,0.4903,0.4204
TestDestroyWeakSynapseOnActiveReinforce,0.1788,0.169,1.2221,0.5275
TestNewSegmentAddSynapsesToSubsetOfWinnerCells2,0.1173,0.1024,0.2885,0.2547
TestAddSegmentToCellWithFewestSegments,0.1339,0.1428,0.3419,0.6707
TestDestroyWeakSynapseOnWrongPrediction,0.1189,0.1098,0.3294,0.2768
TestNewSegmentAddSynapsesToAllWinnerCells,0.057,0.0624,0.1938,0.4498
TestBurstUnpredictedColumnsforFiveCells1,0.1001,0.0949,0.2662,0.2302
TestReinforcedSelectedMatchingSegmentInBurstingColumn1,0.1319,0.1229,0.4562,0.3882
TestBurstUnpredictedColumnsforSixCells,0.127,0.1181,0.3143,0.2726
TestNewSegmentGrowthWhenNoMatchingSegmentFound,39.1531,37.5569,39.5058,39.4426
TestHighSparsitySequenceLearningAndRecallParallel,15.5894,15.546,16.649,16.2536
TestDestroySegmentsWithTooFewSynapsesToBeMatching,0.1705,0.1608,0.4699,0.4105
TestIncreasePermanenceOfActiveSynapses,0.1485,0.1395,0.4806,0.4011
TestNoChangeToNoTSelectedMatchingSegmentsInBurstingColumn,0.1388,0.1313,0.3358,0.2985
TestPredictedActiveCellsAreCorrect,0.0849,0.0757,0.2192,0.1874
TestLowSparsitySequenceLearningAndRecall,0.1454,0.1264,0.4814,0.3549
TestActiveSegmentGrowSynapsesAccordingToPotentialOverlap,0.0877,0.0772,0.2916,0.2533
TestNewSegmentAddSynapsesToAllWinnerCells1,0.1165,0.1048,0.3275,0.2852
TestNoNewSegmentIfNotEnoughWinnerCells3,0.1272,0.1162,0.3381,0.2907
TestPunishMatchingSegmentsInInactiveColumns,0.1835,0.1743,0.4973,0.4107
TestSynapsePermanenceUpdateWhenMatchingSegmentsFound,0.1146,0.1062,0.2547,0.2202
TestDestroyWeakSynapseOnActiveReinforce1,0.142,0.1281,0.4102,0.3446
TestNewSegmentAddSynapsesToSubsetOfWinnerCells1,0.1454,0.1317,0.3651,0.3302
TestActiveCellPrediction,0.1179,0.1077,0.4372,0.3584
TestBurstNotpredictedColumns,0.1321,0.1214,0.5171,0.4396
TestNewSegmentGrowthWhenMultipleMatchingSegmentsFound,49.3891,47.435,49.7613,49.7
TestRecycleLeastRecentlyActiveSegmentToMakeRoomForNewSegment,0.1307,0.121,0.3587,0.3044
TestSegmentCreationIfNotEnoughWinnerCells2,0.0856,0.078,0.3039,0.2482
TestNoneActiveColumns,0.1068,0.0948,0.31,0.2949
TestBurstUnpredictedColumnsforFiveCells2,0.0974,0.0896,11.6704,11.547
TestArrayNotContainingCells,0.0732,0.0664,0.2087,0.1661
TestWhichCellsBecomeActive,39.2947,37.9108,39.657,39.5591
