Test_Case,Init_Time,InitParallel_Time,Compute_Time,ComputeParallel_Time
TestNewSegmentAddSynapsesToAllWinnerCells,3.486,4.4408,11.874,26.5647
TestDestroyWeakSynapseOnWrongPrediction,2.0172,2.011,2.3366,2.3066
TestWithTwoActiveColumns,0.2539,0.2447,0.8884,0.8277
TestHighSparsitySequenceLearningAndRecall,0.2799,0.2725,1.2556,0.8172
TestDestroyWeakSynapseOnActiveReinforce,0.3166,0.3045,2.1661,1.1291
TestIncreasePermanenceOfActiveSynapses,0.1772,0.1726,1.2026,1.0811
TestDestroySegmentsWithTooFewSynapsesToBeMatching,0.2243,0.2189,1.218,1.1034
TestNewSegmentAddSynapsesToSubsetOfWinnerCells1,0.1277,0.1234,0.2973,0.27
TestNewSegmentAddSynapsesToAllWinnerCells1,0.103,0.0993,0.5136,0.4414
TestMatchingSegmentAddSynapsesToSubsetOfWinnerCells,0.2006,0.1927,0.6569,0.5983
TestActivateCorrectlyPredictiveCells,0.2227,0.2155,0.9083,0.8335
TestSynapsePermanenceUpdateWhenMatchingSegmentsFound,0.1678,0.1629,0.9752,0.9088
TestLowSparsitySequenceLearningAndRecall,0.2523,0.2448,1.5386,1.2867
TestBurstUnpredictedColumnsforSixCells,0.2114,0.2062,1.2465,1.1402
TestHighSparsitySequenceLearningAndRecallParallel,0.3029,0.2856,1.5667,1.246
TestSegmentCreationIfNotEnoughWinnerCells2,0.1936,0.1846,0.5162,0.4598
TestReinforcedSelectedMatchingSegmentInBurstingColumn1,0.1162,0.1122,0.5568,0.4979
TestActiveCellPrediction,0.2685,0.2577,0.7946,0.6858
TestNoneActiveColumns,0.1123,0.0949,0.631,0.5619
TestDestroyWeakSynapseOnActiveReinforce1,0.1242,0.1185,0.6719,0.5235
TestAddSegmentToCellWithFewestSegments,0.0425,0.0462,0.144,0.6964
TestNoChangeToNoTSelectedMatchingSegmentsInBurstingColumn,0.0979,0.0914,0.3839,0.3356
TestActivateCorrectlyPredictiveCells1,0.1045,0.0998,0.5303,0.4807
TestNewSegmentGrowthWhenMultipleMatchingSegmentsFound,54.1994,52.2351,55.469,55.3147
TestBurstUnpredictedColumnsforFiveCells1,0.2827,0.275,0.7741,0.7152
TestPunishMatchingSegmentsInInactiveColumns,0.3058,0.2875,0.8336,0.7322
TestRecycleLeastRecentlyActiveSegmentToMakeRoomForNewSegment,0.1951,0.1898,0.6914,0.655
TestBurstNotpredictedColumns,0.2991,0.2893,0.5958,0.5422
TestNoNewSegmentIfNotEnoughWinnerCells,0.2957,0.2821,1.1804,1.0812
TestNewSegmentAddSynapsesToSubsetOfWinnerCells2,0.0913,0.0871,0.1694,0.1531
TestBurstUnpredictedColumnsforFiveCells2,0.1029,0.0966,0.2632,0.2174
TestCreateSynapseInDistalSegment,39.2754,36.3375,40.3174,39.9837
TestArrayNotContainingCells,0.2106,0.2028,6.366,6.248
TestNoNewSegmentIfNotEnoughWinnerCells3,0.0903,0.0856,0.2571,0.2261
TestNoNewSegmentIfNotEnoughWinnerCells1,0.1214,0.1162,0.5492,0.5108
TestPredictedActiveCellsAreCorrect,0.1122,0.1042,0.79,0.7412
TestNewSegmentGrowthWhenNoMatchingSegmentFound,25.8438,24.8208,26.5219,26.452
TestActiveSegmentGrowSynapsesAccordingToPotentialOverlap,0.5846,0.5815,0.8218,0.7938
TestWhichCellsBecomeActive,29.5717,28.2712,30.2706,30.164
