Test_Case,Init_Time,InitParallel_Time,Compute_Time,ComputeParallel_Time
TestSynapsePermanenceUpdateWhenMatchingSegmentsFound,9.2442,8.9847,25.5766,22.9025
TestWhichCellsBecomeActive,14.6274,13.5626,16.0802,15.9311
TestLowSparsitySequenceLearningAndRecall,0.0942,0.0882,0.5643,0.2817
TestMatchingSegmentAddSynapsesToSubsetOfWinnerCells,0.0558,0.0535,0.2018,0.1404
TestHighSparsitySequenceLearningAndRecall,0.2188,0.1953,0.7069,0.5285
TestDestroyWeakSynapseOnActiveReinforce1,0.0958,0.0922,0.2715,0.2484
TestDestroyWeakSynapseOnWrongPrediction,0.1231,0.1155,0.3916,0.3476
TestDestroySegmentsWithTooFewSynapsesToBeMatching,0.1125,0.1068,0.2871,0.2574
TestSegmentCreationIfNotEnoughWinnerCells2,0.1485,0.1411,0.3884,0.3298
TestBurstUnpredictedColumnsforFiveCells2,0.0898,0.0834,0.2547,0.2214
TestAddSegmentToCellWithFewestSegments,0.0491,0.054,0.1508,0.3609
TestPunishMatchingSegmentsInInactiveColumns,0.0759,0.0696,0.3925,0.3001
TestNewSegmentAddSynapsesToAllWinnerCells,0.0643,0.0751,0.1819,0.327
TestReinforcedSelectedMatchingSegmentInBurstingColumn,0.0811,0.0744,0.2556,0.2228
TestNewSegmentAddSynapsesToAllWinnerCells1,0.1008,0.0945,0.283,0.2461
TestNewSegmentAddSynapsesToSubsetOfWinnerCells1,0.0984,0.0902,0.209,0.1884
TestReinforcedSelectedMatchingSegmentInBurstingColumn1,0.0951,0.0876,0.2644,0.2308
TestPredictedActiveCellsAreCorrect,0.1035,0.0941,0.3797,0.3305
TestActiveCellPrediction,0.1715,0.161,0.4715,0.3782
TestIncreasePermanenceOfActiveSynapses,14.7944,14.7745,15.1155,15.0455
TestCreateSynapseInDistalSegment,24.139,22.4588,24.7701,24.5386
TestArrayNotContainingCells,0.1343,0.1289,12.3259,12.2163
TestNewSegmentAddSynapsesToSubsetOfWinnerCells2,0.1168,0.1057,0.4257,0.3854
TestNoneActiveColumns,0.0813,0.0723,0.4014,0.368
TestNoNewSegmentIfNotEnoughWinnerCells,0.1098,0.1006,0.5022,0.4071
TestActiveSegmentGrowSynapsesAccordingToPotentialOverlap,0.0955,0.0902,0.2801,0.2369
TestBurstUnpredictedColumnsforFiveCells1,0.1043,0.0986,0.4035,0.3439
TestBurstUnpredictedColumnsforSixCells,0.0719,0.0663,0.3267,0.301
TestNewSegmentGrowthWhenNoMatchingSegmentFound,45.91,43.9813,46.2465,46.1635
TestBurstNotpredictedColumns,0.0641,0.0593,0.1637,0.1373
TestWithTwoActiveColumns,0.0883,0.0829,13.0019,12.8848
TestActivateCorrectlyPredictiveCells,0.074,0.0689,2.5553,0.2054
TestRecycleLeastRecentlyActiveSegmentToMakeRoomForNewSegment,0.087,0.0827,0.3076,0.2616
TestHighSparsitySequenceLearningAndRecallParallel,0.2408,0.2196,0.7773,0.5262
TestNewSegmentGrowthWhenMultipleMatchingSegmentsFound,42.4404,40.5305,42.7179,42.6834
TestActivateCorrectlyPredictiveCells1,0.0971,0.0921,0.2602,0.2352
TestNoNewSegmentIfNotEnoughWinnerCells3,0.0869,0.0819,0.2727,0.2383
TestNoNewSegmentIfNotEnoughWinnerCells1,0.1011,0.0947,0.3064,0.2604
TestNoChangeToNoTSelectedMatchingSegmentsInBurstingColumn,0.0725,0.0671,0.1865,0.1648
