Test_Case,Init_Time,InitParallel_Time,Compute_Time,ComputeParallel_Time
TestActivateCorrectlyPredictiveCells,16.2794,15.8527,47.6671,40.4144
TestCreateSynapseInDistalSegment,33.9501,32.0653,39.3993,37.5303
TestActivateCorrectlyPredictiveCells1,0.1354,0.1277,0.4096,0.3596
TestWithTwoActiveColumns,0.2418,0.2328,0.512,0.4418
TestNoNewSegmentIfNotEnoughWinnerCells1,0.1326,0.1229,0.3536,0.308
TestReinforcedSelectedMatchingSegmentInBurstingColumn,0.1271,0.1209,0.3365,0.2935
TestMatchingSegmentAddSynapsesToSubsetOfWinnerCells,0.1725,0.1655,0.6547,0.5765
TestDestroyWeakSynapseOnActiveReinforce,0.1514,0.1426,1.1811,0.5446
TestNewSegmentAddSynapsesToSubsetOfWinnerCells2,0.1237,0.1109,0.3308,0.2939
TestAddSegmentToCellWithFewestSegments,0.0907,0.0964,0.2883,0.6191
TestDestroyWeakSynapseOnWrongPrediction,0.098,0.0907,0.2354,0.2029
TestNewSegmentAddSynapsesToAllWinnerCells,0.0969,0.1047,0.1765,0.3324
TestBurstUnpredictedColumnsforFiveCells1,0.1348,0.1273,0.3391,0.2932
TestReinforcedSelectedMatchingSegmentInBurstingColumn1,0.1197,0.1133,0.2705,0.2368
TestBurstUnpredictedColumnsforSixCells,0.1419,0.1345,0.4112,0.3534
TestNewSegmentGrowthWhenNoMatchingSegmentFound,39.5631,38.3683,39.8478,39.7948
TestHighSparsitySequenceLearningAndRecallParallel,0.275,0.2486,15.3787,15.0071
TestDestroySegmentsWithTooFewSynapsesToBeMatching,0.1524,0.1457,0.3728,0.3364
TestIncreasePermanenceOfActiveSynapses,0.1866,0.1796,0.4807,0.409
TestNoChangeToNoTSelectedMatchingSegmentsInBurstingColumn,0.1505,0.1444,0.3478,0.3105
TestPredictedActiveCellsAreCorrect,0.0891,0.0823,0.2498,0.204
TestLowSparsitySequenceLearningAndRecall,0.1239,0.1132,0.441,0.3117
TestActiveSegmentGrowSynapsesAccordingToPotentialOverlap,0.0655,0.062,0.2139,0.1821
TestNewSegmentAddSynapsesToAllWinnerCells1,0.1132,0.1062,0.3661,0.3042
TestNoNewSegmentIfNotEnoughWinnerCells3,0.1168,0.1098,0.342,0.2819
TestPunishMatchingSegmentsInInactiveColumns,0.1288,0.12,0.4537,0.3506
TestSynapsePermanenceUpdateWhenMatchingSegmentsFound,0.0949,0.088,0.3095,0.2652
TestDestroyWeakSynapseOnActiveReinforce1,0.186,0.1759,0.4393,0.3623
TestNewSegmentAddSynapsesToSubsetOfWinnerCells1,0.1102,0.1048,0.2505,0.2236
TestActiveCellPrediction,0.0829,0.0774,0.2844,0.2228
TestBurstNotpredictedColumns,0.1347,0.1295,0.4277,0.364
TestNewSegmentGrowthWhenMultipleMatchingSegmentsFound,36.3417,34.7486,36.6757,36.6084
TestRecycleLeastRecentlyActiveSegmentToMakeRoomForNewSegment,0.0769,0.0732,0.2389,0.2054
TestSegmentCreationIfNotEnoughWinnerCells2,0.0766,0.0711,0.3073,0.2521
TestNoneActiveColumns,0.0924,0.0855,1.0505,1.0236
TestBurstUnpredictedColumnsforFiveCells2,0.1155,0.1107,0.4326,0.3866
TestArrayNotContainingCells,0.065,0.0609,0.2492,0.2026
TestWhichCellsBecomeActive,25.7374,24.3223,26.1209,26.0089
